Date,Vegetable,Price,Units_KG
01-Jan-23,Onion Big,30,1
01-Jan-23,Onion Small,90,1
01-Jan-23,Tomato,17,1
01-Jan-23,Green Chilli,25,1
01-Jan-23,Beetroot,35,1
01-Jan-23,Potato,35,1
01-Feb-23,Onion Big,17,1
01-Feb-23,Onion Small,50,1
01-Feb-23,Tomato,25,1
01-Feb-23,Green Chilli,25,1
01-Feb-23,Beetroot,20,1
01-Feb-23,Potato,25,1
01-Mar-23,Onion Big,16,1
01-Mar-23,Onion Small,40,1
01-Mar-23,Tomato,25,1
01-Mar-23,Green Chilli,20,1
01-Mar-23,Beetroot,20,1
01-Mar-23,Potato,16,1
01-Apr-23,Onion Big,16,1
01-Apr-23,Onion Small,45,1
01-Apr-23,Tomato,17,1
01-Apr-23,Green Chilli,25,1
01-Apr-23,Beetroot,25,1
01-Apr-23,Potato,15,1
01-May-23,Onion Big,14,1
01-May-23,Onion Small,50,1
01-May-23,Tomato,10,1
01-May-23,Green Chilli,25,1
01-May-23,Beetroot,35,1
01-May-23,Potato,20,1
01-Jun-23,Onion Big,17,1
01-Jun-23,Onion Small,65,1
01-Jun-23,Tomato,30,1
01-Jun-23,Green Chilli,45,1
01-Jun-23,Beetroot,30,1
01-Jun-23,Potato,24,1
01-Jul-23,Onion Big,22,1
01-Jul-23,Onion Small,90,1
01-Jul-23,Tomato,90,1
01-Jul-23,Green Chilli,60,1
01-Jul-23,Beetroot,35,1
01-Jul-23,Potato,22,1
01-Aug-23,Onion Big,22,1
01-Aug-23,Onion Small,150,1
01-Aug-23,Tomato,180,1
01-Aug-23,Green Chilli,70,1
01-Aug-23,Beetroot,40,1
01-Aug-23,Potato,30,1
01-Sep-23,Onion Big,30,1
01-Sep-23,Onion Small,60,1
01-Sep-23,Tomato,35,1
01-Sep-23,Green Chilli,35,1
01-Sep-23,Beetroot,40,1
01-Sep-23,Potato,30,1
01-Oct-23,Onion Big,30,1
01-Oct-23,Onion Small,70,1
01-Oct-23,Tomato,15,1
01-Oct-23,Green Chilli,35,1
01-Oct-23,Beetroot,25,1
01-Oct-23,Potato,30,1
01-Nov-23,Onion Big,56,1
01-Nov-23,Onion Small,110,1
01-Nov-23,Tomato,35,1
01-Nov-23,Green Chilli,25,1
01-Nov-23,Beetroot,40,1
01-Nov-23,Potato,30,1
01-Dec-23,Onion Big,60,1
01-Dec-23,Onion Small,80,1
01-Dec-23,Tomato,40,1
01-Dec-23,Green Chilli,25,1
01-Dec-23,Beetroot,35,1
01-Dec-23,Potato,30,1
